session_id,lot_id,entry_time,exit_time,amount_cspr,payment_method
P001,LOT_A,2024-07-01T08:00:00,2024-07-01T09:30:00,15.50,card
P002,LOT_B,2024-07-01T08:15:00,2024-07-01T11:45:00,35.25,cash
P003,LOT_A,2024-07-01T08:30:00,2024-07-01T10:00:00,18.75,mobile
P004,LOT_C,2024-07-01T08:45:00,2024-07-01T12:30:00,42.00,card
P005,LOT_B,2024-07-01T09:00:00,2024-07-01T09:45:00,9.50,cash
P006,LOT_A,2024-07-01T09:15:00,2024-07-01T13:20:00,48.00,card
P007,LOT_D,2024-07-01T09:30:00,2024-07-01T10:15:00,12.25,mobile
P008,LOT_C,2024-07-01T09:45:00,2024-07-01T14:00:00,51.75,card
P009,LOT_B,2024-07-01T10:00:00,2024-07-01T11:30:00,22.50,cash
P010,LOT_A,2024-07-01T10:15:00,2024-07-01T12:45:00,31.00,mobile
P011,LOT_D,2024-07-01T10:30:00,2024-07-01T11:00:00,8.75,card
P012,LOT_C,2024-07-01T10:45:00,2024-07-01T15:30:00,56.25,cash
P013,LOT_B,2024-07-01T11:00:00,2024-07-01T12:30:00,24.50,card
P014,LOT_A,2024-07-01T11:15:00,2024-07-01T13:45:00,38.00,mobile
P015,LOT_D,2024-07-01T11:30:00,2024-07-01T12:15:00,11.50,cash
P016,LOT_C,2024-07-01T11:45:00,2024-07-01T16:00:00,62.00,card
P017,LOT_B,2024-07-01T12:00:00,2024-07-01T13:30:00,27.75,mobile
P018,LOT_A,2024-07-01T12:15:00,2024-07-01T14:45:00,41.25,cash
P019,LOT_D,2024-07-01T12:30:00,2024-07-01T13:15:00,14.00,card
P020,LOT_C,2024-07-01T12:45:00,2024-07-01T17:30:00,68.50,mobile
P021,LOT_B,2024-07-01T13:00:00,2024-07-01T14:30:00,29.00,cash
P022,LOT_A,2024-07-01T13:15:00,2024-07-01T15:45:00,44.75,card
P023,LOT_D,2024-07-01T13:30:00,2024-07-01T14:15:00,16.25,mobile
P024,LOT_C,2024-07-01T13:45:00,2024-07-01T18:00:00,71.00,cash
P025,LOT_B,2024-07-01T14:00:00,2024-07-01T15:30:00,32.50,card
P026,LOT_A,2024-07-01T14:15:00,2024-07-01T16:45:00,47.25,mobile
P027,LOT_D,2024-07-01T14:30:00,2024-07-01T15:15:00,18.75,cash
P028,LOT_C,2024-07-01T14:45:00,2024-07-01T18:30:00,73.50,card
P029,LOT_B,2024-07-01T15:00:00,2024-07-01T16:30:00,35.00,mobile
P030,LOT_A,2024-07-01T15:15:00,2024-07-01T17:45:00,49.50,cash
P031,LOT_D,2024-07-01T15:30:00,2024-07-01T16:15:00,21.00,card
P032,LOT_C,2024-07-01T15:45:00,2024-07-01T19:00:00,75.75,mobile
P033,LOT_B,2024-07-01T16:00:00,2024-07-01T17:30:00,37.25,cash
P034,LOT_A,2024-07-01T16:15:00,2024-07-01T18:45:00,51.75,card
P035,LOT_D,2024-07-01T16:30:00,2024-07-01T17:15:00,23.50,mobile
P036,LOT_C,2024-07-01T16:45:00,2024-07-01T19:30:00,78.00,cash
P037,LOT_B,2024-07-01T17:00:00,2024-07-01T18:30:00,39.50,card
P038,LOT_A,2024-07-01T17:15:00,2024-07-01T19:45:00,54.00,mobile
P039,LOT_D,2024-07-01T17:30:00,2024-07-01T18:15:00,25.75,cash
P040,LOT_C,2024-07-01T17:45:00,2024-07-01T20:00:00,80.25,card
P041,LOT_B,2024-07-01T18:00:00,2024-07-01T19:30:00,41.75,mobile
P042,LOT_A,2024-07-01T18:15:00,2024-07-01T20:45:00,56.25,cash
P043,LOT_D,2024-07-01T18:30:00,2024-07-01T19:15:00,28.00,card
P044,LOT_C,2024-07-01T18:45:00,2024-07-01T20:30:00,82.50,mobile
P045,LOT_B,2024-07-01T19:00:00,2024-07-01T20:30:00,44.00,cash
P046,LOT_A,2024-07-01T19:15:00,2024-07-01T21:45:00,58.50,card
P047,LOT_D,2024-07-01T19:30:00,2024-07-01T20:15:00,30.25,mobile
P048,LOT_C,2024-07-01T19:45:00,2024-07-01T21:00:00,85.00,cash
P049,LOT_B,2024-07-01T20:00:00,2024-07-01T21:30:00,46.25,card
P050,LOT_A,2024-07-01T20:15:00,2024-07-01T22:45:00,60.75,mobile
P051,LOT_D,2024-07-01T20:30:00,2024-07-01T21:15:00,32.50,cash
P052,LOT_C,2024-07-01T20:45:00,2024-07-01T22:00:00,87.25,card
